"","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"12433","GC","2005","Sports","Crave Entertainment",0.06,47,4,"tbd",NA,"Crave","E"
"12434","PC","2011","Strategy","Microsoft Game Studios",0.06,70,44,"5.6",186,"Gas Powered Games","E10+"
"12435","PSV","2012","Action","D3Publisher",0.06,68,36,"7.9",31,"Sandlot","T"
"12436","PS2","2005","Role-Playing","Tecmo Koei",0.06,68,34,"7.8",14,"Gust","E10+"
"12440","PS","2000","Sports","Mattel Interactive",0.06,57,5,"tbd",NA,"Krome Studios","E"
"12442","PC","2014","Action","Warner Bros. Interactive Entertainment",0.06,NA,NA,"6.8",21,"TT Games","E10+"
"12444","XB","2004","Strategy","Activision Value",0.06,38,5,"tbd",NA,"Activision Value","T"
"12447","3DS","2014","Simulation","ArtDink",0.06,65,4,"tbd",NA,"Artdink","E10+"
"12448","XB","2005","Misc","Microsoft Game Studios",0.06,55,26,"tbd",NA,"Tecmo","E"
"12452","PS2","2006","Racing","Game Factory",0.06,27,4,"tbd",NA,"Creat Studios","E10+"
"12453","DS","2008","Role-Playing","Nobilis",0.06,59,9,"8",5,"Sonic Powered","E"
"12456","DS","2009","Puzzle","Playlogic Game Factory",0.06,54,6,"tbd",NA,"Whitebear","E10+"
"12457","PC","2014","Action","Warner Bros. Interactive Entertainment",0.06,68,7,"6.8",33,"TT Games","E10+"
"12458","WiiU","2013","Action","Capcom",0.06,76,10,"7.9",100,"WayForward","E"
"12459","PS2","2001","Shooter","Interplay",0.06,79,15,"6.9",8,"Digital Mayhem","T"
"12463","X360","2014","Racing","Nordic Games",0.06,48,10,"4.8",14,"Nordic Games Publishing","E"
"12464","PSV","2015","Role-Playing","Nippon Ichi Software",0.06,76,11,"8.8",33,"Spike Chunsoft","T"
"12466","PS2","2008","Fighting","PQube",0.06,NA,NA,"8",7,"Arc System Works","T"
"12467","PC","2008","Action","Warner Bros. Interactive Entertainment",0.06,80,15,"7.8",61,"Traveller's Tales","E10+"
"12468","PS2","2008","Adventure","Atari",0.06,47,10,"5.4",24,"Hydravision","M"
"12469","PS2","2003","Misc","TDK Mediactive",0.06,61,11,"8",6,"Mass Media","E"
"12478","PS4","2015","Shooter","Xseed Games",0.06,64,40,"7.9",51,"Sandlot","M"
"12488","XB","2005","Action","Ubisoft",0.06,71,41,"7.6",20,"Darkworks","M"
"12491","DS","2009","Puzzle","Oxygen Interactive",0.06,65,6,"tbd",NA,"Oxygen Interactive","E"
"12493","PS4","2016","Role-Playing","Focus Home Interactive",0.06,60,38,"6.7",116,"Spiders","M"
"12500","DS","2007","Simulation","Electronic Arts",0.06,72,15,"7.6",14,"EA Japan Studio","E"
"12501","XB","2005","Adventure","Take-Two Interactive",0.06,77,51,"8.1",37,"Headfirst Productions","M"
"12502","XB","2003","Action","SCi",0.06,55,24,"tbd",NA,"Pivotal Games","T"
"12503","PC","2010","Racing","Activision",0.06,81,24,"7.4",177,"Bizarre Creations","E10+"
"12505","PC","2011","Adventure","Focus Home Interactive",0.06,75,30,"7.9",35,"Pendulo Studios","E10+"
"12510","GBA","2002","Sports","Ubisoft",0.06,55,7,"tbd",NA,"DC Studios","E"
"12512","DS","2008","Puzzle","THQ",0.06,66,4,"tbd",NA,"Mikoishi","E"
"12513","Wii","2007","Role-Playing","Sega",0.06,48,24,"7.1",23,"Totally Games","T"
"12514","GC","2003","Platform","Acclaim Entertainment",0.06,71,22,"7.3",6,"Acclaim","T"
"12519","GC","2003","Action","Ubisoft",0.06,63,17,"tbd",NA,"Ubisoft Montreal","T"
"12520","Wii","2008","Adventure","Koch Media",0.06,65,12,"7.6",8,"10tacle Studios, Fusionsphere Systems","T"
"12521","PC","2011","Role-Playing","Sony Online Entertainment",0.06,NA,NA,"7.4",5,"Sony Online Entertainment","T"
"12522","PC","2007","Shooter","Midway Games",0.06,83,41,"8",523,"Epic Games","M"
"12523","GC","2002","Sports","Konami Digital Entertainment",0.06,36,7,"4.7",6,"KCEO","E"
"12527","PS2","2011","Action","Konami Digital Entertainment",0.06,NA,NA,"8.2",11,"Konami","E"
"12528","Wii","2009","Adventure","Ubisoft",0.06,65,4,"tbd",NA,"Longtail Studios","T"
"12529","XB","2004","Shooter","Atari",0.06,66,38,"8.6",5,"Paradigm Entertainment","T"
"12530","DS","2007","Puzzle","Square Enix",0.06,61,29,"7",5,"Taito Corporation","E"
"12531","PC","2005","Shooter","Activision",0.06,86,64,"8.4",626,"Infinity Ward","T"
"12532","DS","2009","Shooter","SouthPeak Games",0.06,78,39,"8.2",26,"Arkedo Studio","E"
"12537","XB","2005","Shooter","Take-Two Interactive",0.06,72,34,"6.7",11,"Croteam","M"
"12539","XOne","2016","Action","Insomniac Games",0.06,66,12,"6.9",20,"Insomniac Games","E"
"12541","X360","2014","Fighting","Namco Bandai Games",0.06,NA,NA,"5.7",10,"Prope","E10+"
"12543","X360","2011","Racing","Capcom",0.06,72,31,"",NA,"Monumental Games","E"
"12544","X360","2007","Sports","Activision Value",0.06,51,5,"tbd",NA,"FUN Labs","T"
"12545","PC","2011","Action","Capcom",0.06,66,10,"5.3",54,"Capcom Vancouver","M"
"12546","PS2","2003","Misc","Ubisoft",0.06,64,28,"8.1",12,"SCEI","E"
"12547","PS3","2011","Action","Sony Computer Entertainment",0.06,NA,NA,"7.4",27,"Bluepoint Games","T"
"12554","PC","2007","Role-Playing","Atari",0.06,81,50,"8.8",1116,"CD Projekt Red Studio","M"
"12565","Wii","2009","Adventure","Nintendo",0.06,66,27,"",NA,"Cing",""
"12568","GC","2002","Puzzle","Ubisoft",0.06,65,12,"tbd",NA,"Team 17","E"
"12569","PSV","2015","Role-Playing","Tecmo Koei",0.06,NA,NA,"8",14,"Gust","T"
"12571","PSP","2007","Shooter","Konami Digital Entertainment",0.06,56,20,"6.6",28,"Creat Studios","T"
"12572","DS","2007","Adventure","Midway Games",0.06,NA,NA,"7.2",6,"Sensory Sweep","E"
"12574","PC","2009","Shooter","Namco Bandai Games",0.06,80,44,"8.7",602,"GSC Game World","M"
"12575","XB","2004","Racing","Bethesda Softworks",0.06,36,5,"tbd",NA,"Bethesda Softworks","E"
"12578","DS","2007","Platform","Disney Interactive Studios",0.06,70,5,"tbd",NA,"Artificial Mind and Movement","E"
"12584","PC","2010","Action","Electronic Arts",0.06,54,7,"6.8",9,"EA Bright Light","E"
"12585","DS","2008","Sports","Take-Two Interactive",0.06,70,7,"tbd",NA,"Konami","E"
"12586","PS2","N/A","Shooter","Unknown",0.06,54,12,"tbd",NA,"BattleBorne","T"
"12589","PSP","2006","Sports","Activision Value",0.06,NA,NA,"4",4,"FUN Labs","T"
"12590","DS","2008","Sports","Activision",0.06,61,5,"tbd",NA,"Black Lantern Studios","E"
"12593","PS3","2015","Sports","Activision",0.06,NA,NA,"3.1",12,"Robomodo","T"
"12594","DS","2007","Fighting","Zoo Digital Publishing",0.06,33,4,"tbd",NA,"Nikitova Games","E10+"
"12595","PS2","2006","Shooter","Eidos Interactive",0.06,58,26,"8.5",11,"Pyro Studios","T"
"12596","PS2","2004","Shooter","Namco Bandai Games",0.06,57,16,"8.6",11,"Capcom","T"
"12599","GBA","2002","Fighting","Sammy Corporation",0.06,67,14,"5.9",10,"Arc System Works","T"
"12602","PSP","2007","Role-Playing","Mercury Games",0.06,52,6,"7.4",12,"Platinum Egg","T"
"12606","WiiU","2015","Action","Nintendo",0.06,43,54,"6.5",283,"Valhalla Game Studios","M"
"12609","DS","2006","Strategy","Ubisoft",0.06,63,15,"7",10,"Quicksilver Software","E"
"12610","GBA","2003","Platform","THQ",0.06,44,15,"2.5",4,"Art","E"
"12612","PSP","2006","Action","Konami Digital Entertainment",0.06,59,4,"tbd",NA,"BottleRocket Entertainment","E10+"
"12622","GBA","2002","Adventure","BAM! Entertainment",0.06,80,17,"7.8",10,"Revolution Software","T"
"12623","GC","2003","Action","Capcom",0.06,62,16,"8.5",32,"Nex Entertainment","M"
"12626","GC","2002","Sports","Activision",0.06,80,15,"tbd",NA,"Treyarch","E"
"12628","PC","2003","Strategy","Microsoft Game Studios",0.06,NA,NA,"8",8,"Blue Fang Games","E"
"12629","PS2","2005","Action","Tecmo Koei",0.06,60,36,"7.9",14,"Paon Corporation","M"
"12630","XB","2005","Sports","Take-Two Interactive",0.06,44,14,"tbd",NA,"Cat Daddy Games","T"
"12631","3DS","2014","Role-Playing","Marvelous Entertainment",0.06,68,16,"7.8",36,"Marvelous Inc.","T"
"12635","XB","2003","Strategy","Sega",0.06,69,20,"8.4",10,"Team 17","T"
"12638","PSP","2005","Role-Playing","Ignition Entertainment",0.06,66,41,"7.4",17,"G-Artists","E"
"12639","PS2","2001","Shooter","3DO",0.06,50,9,"6.4",9,"3DO","T"
"12640","DS","2008","Adventure","Arc System Works",0.06,61,6,"8",8,"WorkJam","M"
"12641","PC","2008","Role-Playing","Ascaron Entertainment GmbH",0.06,71,41,"6.9",203,"Ascaron Entertainment GmbH, Ascaron Entertainment","M"
"12643","X360","2014","Action","Little Orbit",0.06,58,5,"7.5",4,"WayForward","E10+"
"12644","DS","2005","Action","Konami Digital Entertainment",0.06,58,10,"7",5,"Konami","E"
"12647","X360","2008","Action","Eidos Interactive",0.06,29,16,"3.3",30,"Red Tribe","T"
"12650","PC","2010","Sports","Konami Digital Entertainment",0.06,79,9,"",NA,"Konami",""
"12653","XB","2004","Action","Disney Interactive Studios",0.06,69,36,"4.3",4,"Climax Group","T"
"12657","DS","2005","Puzzle","Atari",0.06,65,24,"tbd",NA,"Bullets","E"
"12660","PS2","2006","Racing","Namco Bandai Games",0.06,59,22,"6.6",24,"Eutechnyx","T"
"12670","PS3","2008","Action","Ignition Entertainment",0.06,30,15,"3.5",36,"Artoon","M"
"12671","X360","2007","Shooter","Activision",0.06,35,11,"6.1",21,"Cauldron Ltd.","T"
"12673","GBA","2004","Racing","Zoo Digital Publishing",0.06,83,17,"8.9",9,"Orbital Media, Inc.","E"
"12674","PS2","2010","Shooter","Sony Computer Entertainment",0.06,NA,NA,"7.9",9,"Sony Bend","T"
"12676","PS3","2011","Racing","Evolved Games",0.06,53,5,"tbd",NA,"Left Field Productions, Zoo Games","E10+"
"12678","XOne","2015","Action","Ubisoft",0.06,60,14,"8.4",50,"Krome Studios",""
"12680","X360","2012","Shooter","Namco Bandai Games",0.06,53,51,"6.5",72,"Saber Interactive","M"
"12683","PC","2009","Racing","Electronic Arts",0.06,83,22,"5.8",387,"Slightly Mad Studios","E"
"12684","PSP","2006","Action","Atari",0.06,78,36,"7.8",8,"Ignition Entertainment","E"
"12685","PSV","2015","Role-Playing","Aksys Games",0.06,71,8,"8.3",12,"Tri-Ace","T"
"12686","PC","2004","Strategy","Microsoft Game Studios",0.06,72,34,"8.1",43,"Blue Fang Games","E"
"12690","X360","2009","Action","SouthPeak Games",0.06,42,17,"5",4,"Collision Studios","E10+"
"12691","XB","2002","Adventure","Ubisoft",0.06,55,11,"tbd",NA,"Presto Studios","E"
"12693","PS2","2006","Misc","Konami Digital Entertainment",0.06,71,24,"tbd",NA,"Harmonix Music Systems","E10+"
"12695","Wii","2010","Adventure","Hudson Soft",0.06,60,8,"tbd",NA,"Hudson Entertainment","E"
"12696","Wii","2009","Action","SouthPeak Games",0.06,48,13,"tbd",NA,"Collision Studios","E10+"
"12701","XB","2002","Action","Tecmo Koei",0.06,77,17,"8.6",16,"Tecmo","T"
"12702","PS2","2006","Shooter","Eidos Interactive",0.06,73,35,"7.8",24,"Rocksteady Studios","M"
"12703","PS2","2006","Shooter","Ubisoft",0.06,44,8,"4.6",41,"Ubisoft Shanghai","T"
"12706","Wii","2010","Puzzle","Rising Star Games",0.06,74,30,"7.2",12,"Prope","E"
"12707","GC","2003","Action","Capcom",0.06,59,15,"8.5",31,"Capcom","M"
"12708","DS","2006","Puzzle","Konami Digital Entertainment",0.06,61,28,"tbd",NA,"Hudson","E"
"12711","XB","2004","Action","Electronic Arts",0.06,45,33,"4.6",5,"EA Games","T"
"12715","X360","2012","Action","505 Games",0.06,54,8,"3.5",16,"505 Games","T"
"12717","X360","2008","Action","Tecmo Koei",0.06,44,28,"8.1",15,"Omega Force","T"
"12718","PS2","2007","Role-Playing","Nippon Ichi Software",0.06,69,20,"7.5",41,"Gust","E10+"
"12720","Wii","N/A","Platform","Unknown",0.06,47,7,"tbd",NA,"Majesco Games, Majesco","E"
"12721","PC","2016","Fighting","Capcom",0.06,74,33,"2.9",431,"Capcom","T"
"12726","GBA","2001","Role-Playing","Konami Digital Entertainment",0.06,71,12,"9",9,"WinkySoft","E"
"12727","PS","2000","Action","Infogrames",0.06,27,4,"tbd",NA,"SingleTrac","E"
"12730","PS4","2015","Sports","Nordic Games",0.06,42,8,"4.1",9,"Rainbow Studios","E"
"12731","PSP","2006","Action","Activision",0.06,73,41,"7.6",9,"Rebellion, Neversoft Entertainment","M"
"12732","GBA","2003","Action","Atari",0.06,50,15,"tbd",NA,"Taniko","T"
"12735","DS","2007","Sports","Electronic Arts",0.06,81,10,"7.6",8,"Exient Entertainment","E"
"12737","XB","2005","Action","SCi",0.06,60,31,"7.1",17,"Bits Studios","M"
"12738","GC","2006","Action","Ubisoft",0.06,64,8,"7.1",7,"Ubisoft Montreal","M"
"12743","Wii","2008","Fighting","Ignition Entertainment",0.06,74,6,"8.2",5,"SNK Playmore","T"
"12744","PC","2007","Shooter","THQ",0.06,82,44,"8.4",1088,"GSC Game World","M"
"12745","DS","2005","Shooter","Majesco Entertainment",0.06,71,43,"7.7",19,"Shin'en","E"
"12750","PS2","2004","Action","Sega",0.06,59,21,"8.4",10,"Adrenium","T"
"12753","X360","2014","Simulation","Kalypso Media",0.06,71,4,"7.2",9,"Haemimont","T"
"12754","DS","2006","Action","Konami Digital Entertainment",0.06,NA,NA,"6.8",6,"Powerhead Games","E"
"12757","PS2","2001","Role-Playing","Sony Computer Entertainment",0.06,67,13,"tbd",NA,"Cattle Call","T"
"12758","PS4","2015","Sports","Ubisoft",0.06,25,6,"1.9",39,"HB Studios Multimedia","E"
"12759","DS","2008","Sports","Ubisoft",0.06,70,7,"tbd",NA,"Ubisoft","E"
"12760","GC","2003","Role-Playing","Activision",0.06,68,25,"9.1",14,"From Software","T"
"12761","GC","2002","Sports","Acclaim Entertainment",0.06,88,16,"7.8",5,"Z-Axis, Ltd.","T"
"12762","GC","2005","Action","Capcom",0.06,62,27,"6.9",8,"Clover Studio","T"
"12764","PSP","2006","Role-Playing","Atari",0.06,60,33,"6.9",16,"Hit Maker","E10+"
"12765","PS3","2010","Adventure","Idea Factory",0.06,NA,NA,"6.5",10,"Design Factory","M"
"12766","DS","2011","Action","Activision",0.06,33,6,"5.6",7,"Silicon Knights","E10+"
"12769","PC","2005","Simulation","Electronic Arts",0.06,81,31,"7.8",49,"Maxis","T"
"12771","PSP","2005","Role-Playing","Midas Interactive Entertainment",0.06,60,29,"7.7",18,"Idea Factory","T"
"12775","PS2","2005","Misc","Mastiff",0.06,73,28,"8.4",11,"Andamiro U.S.A. Corp.","T"
"12778","PS3","2014","Role-Playing","Aksys Games",0.06,64,11,"6.4",17,"TOYBOX","T"
"12779","GC","2002","Racing","Activision",0.06,58,17,"tbd",NA,"Stealth Studios","T"
"12780","PSV","2012","Racing","Sony Computer Entertainment",0.06,78,39,"6.8",123,"Evolution Studios","E"
"12783","XB","2002","Platform","Midway Games",0.06,70,13,"tbd",NA,"Midway","T"
"12784","PC","2001","Action","Electronic Arts",0.06,65,11,"7.8",76,"KnowWonder","E"
"12786","XB","N/A","Shooter","Unknown",0.06,54,10,"3.6",14,"Ubisoft Quebec","M"
"12788","DS","2006","Action","SouthPeak Games",0.06,70,29,"8.6",5,"Orbital Media, Inc.","E10+"
"12790","PC","2013","Action","Capcom",0.06,65,26,"7.4",1007,"DONTNOD Entertainment","M"
"12800","DS","2007","Puzzle","Eidos Interactive",0.06,68,13,"tbd",NA,"Zoonami Ltd.","E"
"12806","GBA","2002","Racing","THQ",0.06,67,11,"tbd",NA,"Visual Impact","E"
"12808","PS2","2002","Sports","Konami Digital Entertainment",0.06,62,13,"tbd",NA,"Konami","E"
"12812","PS","2000","Adventure","Ubisoft",0.06,34,4,"tbd",NA,"Revolution Software","E"
"12814","XB","2006","Sports","Electronic Arts",0.06,69,14,"6.8",13,"EA Sports","E"
"12816","GBA","2002","Action","Vivendi Games",0.06,53,7,"tbd",NA,"Cave Barn","E"
"12819","PS4","2015","Sports","Bigben Interactive",0.06,NA,NA,"3",4,"EKO Software","E"
"12821","GBA","2004","Puzzle","Majesco Entertainment",0.06,37,6,"tbd",NA,"Radius9","E"
"12824","X360","2013","Racing","Deep Silver",0.06,19,14,"1.3",433,"Eutechnyx, Deep Silver","M"
"12827","PS2","2005","Misc","Warner Bros. Interactive Entertainment",0.06,50,6,"tbd",NA,"Artech Studios","T"
"12830","PC","2009","Action","Electronic Arts",0.06,76,20,"8",236,"Pandemic Studios","M"
"12833","X360","2008","Misc","Gamecock",0.06,52,23,"6.1",7,"Wideload Games Inc.","T"
"12834","GC","2004","Shooter","Ubisoft",0.06,68,25,"8.2",5,"Ubisoft Shanghai","M"
"12835","PS","1997","Shooter","Sony Computer Entertainment",0.06,76,11,"tbd",NA,"Alfa System","T"
"12836","PC","2016","Sports","505 Games",0.06,86,20,"8.2",580,"Psyonix","E"
"12840","DS","2007","Role-Playing","Rising Star Games",0.06,60,10,"tbd",NA,"Amble","E10+"
"12843","XB","2003","Racing","Eidos Interactive",0.06,68,28,"tbd",NA,"Crystal Dynamics","T"
"12844","PS2","2002","Racing","Atari",0.06,82,10,"7.4",14,"Eden Studios","E"
"12847","PC","2009","Platform","Electronic Arts",0.06,81,44,"8.1",1026,"EA DICE","T"
"12848","PC","2006","Role-Playing","THQ",0.06,77,51,"8.1",387,"Iron Lore Entertainment","T"
"12849","GC","2004","Strategy","Sega",0.06,59,22,"6.6",7,"Hitmaker","E"
"12850","DS","2008","Platform","Brash Entertainment",0.06,59,5,"tbd",NA,"Red Tribe, Brash Entertainment","E"
"12851","XB","2002","Shooter","TDK Mediactive",0.06,48,11,"tbd",NA,"Simon & Schuster","T"
"12853","PS2","2004","Action","BAM! Entertainment",0.06,53,8,"tbd",NA,"Artificial Mind and Movement","E"
"12854","DS","2007","Role-Playing","Success",0.06,65,18,"7.9",13,"Ninja Studio","T"
"12860","PC","2006","Role-Playing","JoWood Productions",0.06,63,39,"7.3",519,"Piranha Bytes","T"
"12864","DS","2009","Strategy","Black Bean Games",0.05,42,5,"tbd",NA,"Slitherine","E10+"
"12865","XOne","2016","Action","Telltale Games",0.05,35,17,"5.2",74,"The Fun Pimps Entertainment LLC","M"
"12867","GBA","2002","Strategy","Ubisoft",0.05,75,4,"tbd",NA,"Fluid Studios","E"
"12869","Wii","2007","Misc","Eidos Interactive",0.05,30,4,"3.6",20,"Sensory Sweep","E"
"12870","PS2","2006","Action","Capcom",0.05,43,36,"6.2",11,"Capcom","M"
"12871","XB","2003","Racing","Acclaim Entertainment",0.05,60,16,"8.8",4,"Climax Group","E"
"12872","GBA","2005","Strategy","Atari",0.05,78,29,"9.1",10,"Codo Games","E10+"
"12873","PC","2010","Racing","Codemasters",0.05,84,15,"6.6",99,"Codemasters Birmingham","E"
"12874","XB","2003","Action","Acclaim Entertainment",0.05,65,25,"7.1",7,"Acclaim Studios Manchester","M"
"12876","PC","1999","Action","Electronic Arts",0.05,NA,NA,"8.8",100,"Bullfrog Productions","M"
"12877","PS2","2002","Puzzle","Capcom",0.05,72,24,"7.2",6,"Shift","E"
"12886","Wii","2009","Action","D3Publisher",0.05,42,7,"5.5",8,"Papaya Studios","E10+"
"12889","PS2","2002","Role-Playing","Sony Computer Entertainment",0.05,70,17,"tbd",NA,"Matrix Software","E"
"12890","GC","2001","Sports","Acclaim Entertainment",0.05,53,10,"tbd",NA,"Acclaim","E"
"12891","DS","2006","Action","Konami Digital Entertainment",0.05,58,7,"tbd",NA,"Razorback Developments","E"
"12893","PC","2016","Strategy","Paradox Interactive",0.05,83,36,"6.9",306,"Paradox Development Studio",""
"12894","GBA","2003","Simulation","Destination Software, Inc",0.05,70,8,"8.3",7,"Raylight Studios","T"
"12896","PS2","2006","Action","Atari",0.05,69,39,"7.2",31,"Double Helix Games","M"
"12898","Wii","N/A","Action","Sega",0.05,57,16,"6",6,"High Voltage Software","T"
"12899","XB","2002","Sports","Sega",0.05,80,15,"8.5",10,"Black Box","E"
"12900","PS3","2014","Shooter","City Interactive",0.05,43,12,"6",75,"CI Games","M"
"12902","Wii","2009","Strategy","Playlogic Game Factory",0.05,66,4,"tbd",NA,"Icon Games","E"
"12903","GC","2002","Action","Eidos Interactive",0.05,71,15,"tbd",NA,"Crystal Dynamics","M"
"12904","DS","2008","Adventure","Empire Interactive",0.05,66,20,"tbd",NA,"Now Production","T"
"12907","PSP","2009","Simulation","Graffiti",0.05,36,12,"tbd",NA,"Cowboy Rodeo","T"
"12908","XB","2004","Racing","Global Star",0.05,64,34,"tbd",NA,"Argonaut Games","E"
"12909","XB","2003","Shooter","Zoo Digital Publishing",0.05,55,11,"tbd",NA,"Terminal Reality","T"
"12910","PSP","2006","Puzzle","Atari",0.05,62,24,"tbd",NA,"Q Entertainment","E10+"
"12911","PC","2010","Shooter","Square Enix",0.05,63,13,"5.1",48,"Double Helix Games","T"
"12915","PS2","2001","Sports","Konami Digital Entertainment",0.05,50,9,"tbd",NA,"Konami","E"
"12916","XB","2005","Action","Tecmo Koei",0.05,66,22,"8",4,"Omega Force","T"
"12919","GBA","2002","Sports","Electronic Arts",0.05,76,4,"tbd",NA,"Exient Entertainment","E"
"12920","PS2","2004","Simulation","Tecmo Koei",0.05,65,12,"tbd",NA,"Micro Cabin","T"
"12921","PC","2012","Adventure","DTP Entertainment",0.05,76,9,"6.7",15,"Cranberry Production",""
"12923","PC","2009","Puzzle","Mastertronic",0.05,NA,NA,"7.4",19,"Playrix Entertainment","E"
"12929","PC","2014","Action","Square Enix",0.05,59,22,"7.4",379,"Airtight Games","M"
"12930","PSP","2006","Misc","Activision",0.05,75,10,"tbd",NA,"Digital Eclipse","E"
"12932","PS2","2001","Shooter","Sony Computer Entertainment",0.05,78,34,"8.3",28,"UGA","E"
"12933","XB","2006","Sports","Midway Games",0.05,59,15,"tbd",NA,"Blue Shift","E10+"
"12935","PSP","2008","Role-Playing","Idea Factory",0.05,57,14,"7.8",12,"Idea Factory","T"
"12936","GBA","2002","Role-Playing","Taito",0.05,76,12,"8.3",8,"Taito Corporation","E"
"12937","XB","2004","Sports","Electronic Arts",0.05,74,21,"8.1",9,"EA Canada","E"
"12938","PC","2011","Simulation","Kalypso Media",0.05,57,4,"5.5",30,"Kalypso","E"
"12940","PSP","2007","Action","Destineer",0.05,41,9,"tbd",NA,"Empire Oxford","E"
"12945","GC","2003","Role-Playing","Ubisoft",0.05,51,6,"8",7,"Imagineer","E"
"12957","PC","2011","Simulation","Ubisoft",0.05,60,13,"7.1",114,"1C: Maddox Games","T"
"12959","XB","2003","Sports","Midway Games",0.05,71,14,"6.6",8,"Midway","E"
"12964","DS","2009","Role-Playing","Graffiti",0.05,58,24,"7.5",20,"Studio Archcraft","E"
"12965","PSP","2006","Platform","Konami Digital Entertainment",0.05,68,34,"7.3",9,"Backbone Entertainment","T"
"12966","XB","2003","Sports","Activision",0.05,80,23,"8.8",9,"Shaba Games","E"
"12967","PS4","2016","Platform","Deep Silver",0.05,52,64,"3.5",282,"Inti Creates","E10+"
"12970","PS2","2006","Action","Namco Bandai Games",0.05,66,26,"7.2",6,"Grasshopper Manufacture","T"
"12971","PS4","2016","Sports","Tecmo Koei",0.05,43,9,"7.8",110,"Team Ninja",""
"12972","GBA","N/A","Platform","Unknown",0.05,81,34,"8.3",10,"Game Freak","E"
"12976","DS","2008","Action","SouthPeak Games",0.05,59,12,"tbd",NA,"Lexis Numerique","E"
"12979","PC","2007","Shooter","Electronic Arts",0.05,78,38,"7.3",204,"Electronic Arts","T"
"12983","Wii","2007","Action","Nordcurrent",0.05,57,4,"tbd",NA,"RED Entertainment","E"
"12984","XB","2004","Action","Konami Digital Entertainment",0.05,61,15,"tbd",NA,"Krome Studios","T"
"12992","PC","2011","Strategy","1C Company",0.05,77,21,"8.2",93,"THQ, 1C, 1C Company","T"
"12995","DS","2008","Role-Playing","Nippon Ichi Software",0.05,67,24,"6.8",12,"Nippon Ichi Software","E"
"12997","XB","2005","Adventure","Ubisoft",0.05,75,17,"tbd",NA,"Ubisoft Montreal","T"
"13002","XOne","2016","Action","Deep Silver",0.05,67,10,"4.9",18,"Techland","M"
"13003","WiiU","2013","Platform","Namco Bandai Games",0.05,58,9,"6.5",16,"Namco Bandai Games, Monkey Bar Games","E10+"
"13006","GC","2002","Sports","Sega",0.05,58,20,"6",5,"Amusement Vision","E"
"13008","X360","2007","Sports","Electronic Arts",0.05,72,27,"8.2",10,"EA Canada","E"
"13011","PC","2015","Racing","Codemasters",0.05,61,13,"3.6",63,"Codemasters","E"
"13014","GC","2002","Platform","Ubisoft",0.05,46,10,"tbd",NA,"Ubisoft","E"
"13015","DS","2009","Action","Playlogic Game Factory",0.05,58,7,"6",5,"Engine Software","E10+"
"13018","PC","2011","Action","Bethesda Softworks",0.05,61,21,"6.6",127,"InXile Entertainment","M"
"13019","PS2","2004","Racing","Evolved Games",0.05,54,4,"tbd",NA,"Argonaut Games","T"
"13024","Wii","2009","Misc","Majesco Entertainment",0.05,46,16,"tbd",NA,"NanaOn-Sha","E"
"13026","XB","2003","Action","Sega",0.05,79,43,"8.3",12,"From Software","T"
"13027","PS2","2005","Action","JoWood Productions",0.05,72,30,"7.3",18,"Neon Studios","E10+"
"13029","X360","2010","Fighting","Konami Digital Entertainment",0.05,49,11,"6.3",12,"Immersion Software & Graphics","T"
"13030","GC","2003","Platform","Gotham Games",0.05,70,4,"8",5,"Doki Denki","E"
"13031","PC","2010","Action","Ubisoft",0.05,66,12,"3.8",47,"Ubisoft","T"
"13032","Wii","2007","Puzzle","Popcorn Arcade",0.05,NA,NA,"1.1",8,"Data Design Interactive","E"
"13033","XB","2004","Role-Playing","Avalon Interactive",0.05,66,33,"5.5",23,"Interplay","M"
"13035","XB","2003","Racing","Codemasters",0.05,71,8,"7.8",5,"Codemasters","E"
"13037","XB","2004","Puzzle","505 Games",0.05,74,12,"tbd",NA,"Taito Corporation","E"
"13038","XB","2002","Racing","Activision",0.05,69,16,"tbd",NA,"Climax Group","E"
"13039","PS3","2016","Action","Activision",0.05,NA,NA,"3.4",14,"PlatinumGames","T"
"13042","PS4","2016","Shooter","Tripwire Interactive",0.05,76,39,"8",57,"Tripwire Interactive","M"
"13044","PS2","2002","Racing","Sony Computer Entertainment",0.05,70,14,"4.4",5,"Sega AM2","E"
"13049","PC","2015","Fighting","Warner Bros. Interactive Entertainment",0.05,76,10,"5.1",475,"High Voltage Software","M"
"13051","PC","2011","Simulation","Paradox Interactive",0.05,70,20,"7.7",105,"Colossal Order","E"
"13052","PS2","2002","Adventure","3DO",0.05,37,12,"5.9",8,"3DO","T"
"13056","XOne","2015","Action","Tecmo Koei",0.05,48,6,"7.1",8,"Omega Force","T"
"13057","PSP","2010","Fighting","SouthPeak Games",0.05,50,6,"6.5",4,"Point of View","T"
"13061","X360","2014","Role-Playing","Deep Silver",0.05,51,11,"4.1",42,"Deep Silver","M"
"13063","PC","2009","Role-Playing","DTP Entertainment",0.05,61,17,"6.8",51,"Deck 13","T"
"13064","PC","2009","Shooter","Codemasters",0.05,76,29,"4.9",539,"Codemasters","M"
"13069","XOne","2015","Role-Playing","Deep Silver",0.05,77,13,"7.1",56,"InXile Entertainment","M"
"13070","X360","2010","Shooter","Rising Star Games",0.05,77,10,"8.6",16,"Cave",""
